No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut.aptFor	taeGut.galGal	aptHaa.aptOwe	aptHaa.aptRow	casCas.droNov	aptHaa.casCas	rheAme.rhePen	aptHaa.rheAme	cryCin.tinGut	eudEle.notPer	cryCin.eudEle	cryCin.anoDid	aptHaa.cryCin	aptHaa.strCam	taeGut.aptHaa
82	1	0	1	2	2	2	0	0	2	2	0	0	1	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
83	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
84	1	1	1	2	2	2	1	0	2	2	1	1	1	1	1	1	1	1	2	1	0	0	1	0	1	1	1	1	0	0	0
85	1	1	1	2	2	2	0	0	2	2	1	1	0	0	1	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0
86	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
87	0	0	0	2	2	0	1	1	2	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
88	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0
89	1	1	1	2	2	2	0	0	2	2	0	0	0	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0
90	0	1	1	2	2	2	1	1	2	2	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
91	1	1	1	2	2	2	1	1	2	2	1	1	1	1	0	0	1	1	2	1	1	1	1	1	1	1	1	0	0	0	0
92	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0
93	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
94	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
95	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
96	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
97	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	0
98	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
99	1	1	1	2	2	2	1	1	2	2	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	0	0	0	0
