No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
61	2.16947	0.0648057	0.545793	0.133917	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.9736	0.0264	0	0	0.9836	0.0164	0	0	0	1	0	0	0	1	0	0	0.999867	0.000133333	0	0	0.999467	0.000533333	0	0	1	0	0	0	0.999867	0.000133333	0	0	0.999867	0.000133333	0	0	1	0	0	0.000266667	0.999733	0	0	0.000666667	0.999333	0	0	0	0	1	0	0	0	1	0	0	0.998133	0.00186667	0	0	0.998133	0.00186667	0	0	0	1	0	0	0.998133	0.00186667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000533333	0.999467	0	0	0.0958667	0.904133	0
35	1.7185	0.10265	0.530077	0.167442	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.933733	0.0662667	0	0	0.9464	0.0536	0	0	0	1	0	0	0	1	0	0	0.892667	0.107333	0	0	0.379333	0.620667	0	0	0.999867	0.000133333	0	0	0.999333	0.000666667	0	0	0.992	0.008	0	0	0.9996	0.0004	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.9784	0.0216	0	0	0.978667	0.0213333	0	0	0	1	0	0	0.981733	0.0182667	0	0	0.8988	0.1012	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.0012	0.9988	0	0	0.0989333	0.901067	0
52	2.43245	0.215558	0.628706	0.137488	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0	0.0129333	0.987067	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.976	0.024	0	0	0.980933	0.0190667	0	0.000533333	0.000666667	0.9988	0	0.0008	0.000266667	0.998933	0	0	0.998667	0.00133333	0	0	0.9728	0.0272	0	0	1	0	0	0	0.999067	0.000933333	0	0	0.999867	0.000133333	0	0.000266667	0.999733	0	0	0.00386667	0.996133	0	0	0.0992	0.9008	0	0	0	0	1	0	0	0	1	0	0	0.996133	0.00386667	0	0	0.996133	0.00386667	0	0.00106667	0.000133333	0.9988	0	0.00106667	0.995467	0.00346667	0	0	0.999733	0.000266667	0	0	1	0	0	0	1	0	0	0.0004	0.9996	0	0	0.0028	0.9972	0	0	0.00906667	0.990933	0	0	0.3868	0.6132	0
55	1.76604	0.336733	0.57911	0.150778	0	0	0.00293333	0.997067	0	0	0.00333333	0.996667	0	0	0.0056	0.9944	0	0	0.00906667	0.0102667	0.980667	0	0.00933333	0.00986667	0.9808	0	0.0105333	0.0213333	0.968133	0	0.00626667	0.479067	0.514667	0	0.0052	0.547333	0.447467	0	0.0142667	0.00773333	0.978	0	0.0126667	0.0092	0.978133	0	0.000133333	0.863067	0.1368	0	0.0004	0.944133	0.0554667	0	0.000266667	0.990533	0.0092	0	0.000266667	0.9992	0.000533333	0	0.00226667	0.954533	0.0432	0	0.0257333	0.947067	0.0272	0	0.0112	0.9888	0	0	0.0550667	0.944933	0	0	0.0117333	0.0092	0.979067	0	0.0145333	0.0202667	0.9652	0	0.0084	0.566267	0.425333	0	0.0149333	0.567067	0.418	0	0.0206667	0.002	0.977333	0	0.0206667	0.616	0.363333	0	0.0004	0.9868	0.0128	0	0.000266667	0.999733	0	0	0.000666667	0.999333	0	0	0.00733333	0.992667	0	0	0.032	0.968	0	0	0.0668	0.9332	0	0	0.295733	0.704267	0
40	1.71802	0.282918	0.543865	0.119229	0	0	0.0024	0.9976	0	0	0.0028	0.9972	0	0	0.000666667	0.999333	0	0	0.0285333	0.4916	0.479867	0	0.0316	0.429867	0.538533	0	0.0449333	0.5056	0.449467	0	0.0149333	0.788667	0.1964	0	0.0129333	0.798533	0.188533	0	0.0952	0.0781333	0.826667	0	0.1044	0.0681333	0.827467	0	0.000133333	0.995467	0.0044	0	0.000266667	0.9792	0.0205333	0	0.0036	0.961467	0.0349333	0	0.00226667	0.960133	0.0376	0	0.0612	0.835733	0.103067	0	0.0198667	0.976933	0.0032	0	0.0076	0.9924	0	0	0.0478667	0.952133	0	0	0.0436	0.5288	0.4276	0	0.0637333	0.6116	0.324667	0	0.0293333	0.806533	0.164133	0	0.0937333	0.752	0.154267	0	0.162667	0.0134667	0.823867	0	0.1632	0.7036	0.1332	0	0.0028	0.9964	0.0008	0	0.00853333	0.981867	0.0096	0	0.0172	0.982533	0.000266667	0	0.1096	0.890133	0.000266667	0	0.2512	0.7488	0	0	0.362133	0.637867	0	0	0.468267	0.531733	0
0	2.35501	0.252714	0.645489	0.15491	0	0	0	1	0	0	0.000266667	0.999733	0	0	0.000266667	0.999733	0	0	0.0004	0.000666667	0.998933	0	0.000533333	0.000533333	0.998933	0	0.000533333	0.000533333	0.998933	0	0.000266667	0.745333	0.2544	0	0.000666667	0.894933	0.1044	0	0.0044	0.00133333	0.994267	0	0.00333333	0.0024	0.994267	0	0	0.999733	0.000266667	0	0	0.997067	0.00293333	0	0	0.994267	0.00573333	0	0	0.999467	0.000533333	0	0.000133333	0.999467	0.0004	0	0.0752	0.912667	0.0121333	0	0.0008	0.9992	0	0	0.0428	0.9572	0	0	0.0008	0.000266667	0.998933	0	0.00106667	0.000266667	0.998667	0	0.000666667	0.950933	0.0484	0	0.00106667	0.9512	0.0477333	0	0.00546667	0.000266667	0.994267	0	0.00546667	0.951067	0.0434667	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00186667	0.998133	0	0	0.0308	0.9692	0	0	0.205733	0.794267	0	0	0.5628	0.4372	0
64	1.53186	0.217484	0.547854	0.139623	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0004	0.0734667	0.926133	0	0.000266667	0.0564	0.943333	0	0.000666667	0.0610667	0.938267	0	0	0.716	0.284	0	0.000133333	0.841867	0.158	0	0.00146667	0.064	0.934533	0	0.0004	0.270533	0.729067	0	0	0.997067	0.00293333	0	0	0.937733	0.0622667	0	0	0.993867	0.00613333	0	0	0.961733	0.0382667	0	0	0.989867	0.0101333	0	0.000666667	0.9884	0.0109333	0	0.0008	0.9992	0	0	0.00386667	0.996133	0	0	0.000533333	0.0792	0.920267	0	0.00106667	0.110933	0.888	0	0.000133333	0.88	0.119867	0	0.0012	0.882	0.1168	0	0.00186667	0.3044	0.693733	0	0.00186667	0.8972	0.100933	0	0	0.999333	0.000666667	0	0	0.998267	0.00173333	0	0	1	0	0	0.000266667	0.999733	0	0	0.00213333	0.997867	0	0	0.00426667	0.995733	0	0	0.129333	0.870667	0
58	1.31976	0.207811	0.563286	0.148988	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00693333	0.00666667	0.9864	0	0.00693333	0.00693333	0.986133	0	0.0102667	0.00733333	0.9824	0	0.00453333	0.0744	0.921067	0	0.00253333	0.137067	0.8604	0	0.00986667	0.006	0.984133	0	0.0102667	0.00533333	0.9844	0	0	0.9868	0.0132	0	0	0.991467	0.00853333	0	0	0.805733	0.194267	0	0	0.839333	0.160667	0	0.000133333	0.988533	0.0113333	0	0.0044	0.980533	0.0150667	0	0.000133333	0.999867	0	0	0.00613333	0.993867	0	0	0.00946667	0.00506667	0.985467	0	0.0124	0.00746667	0.980133	0	0.00586667	0.1392	0.854933	0	0.0125333	0.148933	0.838533	0	0.0146667	0.002	0.983333	0	0.0146667	0.255333	0.73	0	0	0.9996	0.0004	0	0	0.900267	0.0997333	0	0.000133333	0.999867	0	0	0.0004	0.9996	0	0	0.018	0.982	0	0	0.0422667	0.957733	0	0	0.2076	0.7924	0
48	1.88661	0.221701	0.569581	0.125083	0	0	0	1	0	0	0.0008	0.9992	0	0	0.000133333	0.999867	0	0	0.0304	0.2504	0.7192	0	0.0284	0.256133	0.715467	0	0.0682667	0.173333	0.7584	0	0.00226667	0.962533	0.0352	0	0.00186667	0.969867	0.0282667	0	0.0818667	0.0590667	0.859067	0	0.0973333	0.0437333	0.858933	0	0	0.999067	0.000933333	0	0	0.9988	0.0012	0	0	0.997733	0.00226667	0	0	0.998	0.002	0	0.0253333	0.964	0.0106667	0	0.00653333	0.9932	0.000266667	0	0.0028	0.9972	0	0	0.0392	0.9608	0	0	0.0506667	0.2544	0.694933	0	0.0996	0.2288	0.6716	0	0.00453333	0.989867	0.0056	0	0.104	0.8904	0.0056	0	0.140667	0.000933333	0.8584	0	0.140933	0.853867	0.0052	0	0.000133333	0.999867	0	0	0.000266667	0.999733	0	0	0.00146667	0.998533	0	0	0.0897333	0.910267	0	0	0.226133	0.773867	0	0	0.350267	0.649733	0	0	0.503733	0.496267	0
19	1.69137	0.254961	0.604212	0.161658	0	0	0.0004	0.9996	0	0	0.0004	0.9996	0	0	0	1	0	0	0.00226667	0.0012	0.996533	0	0.00226667	0.0012	0.996533	0	0.00186667	0.0016	0.996533	0	0.00173333	0.5156	0.482667	0	0.00186667	0.198933	0.7992	0	0.00573333	0.0116	0.982667	0	0.004	0.0162667	0.979733	0	0	0.9932	0.0068	0	0.000133333	0.948533	0.0513333	0	0.000133333	0.966	0.0338667	0	0	0.950667	0.0493333	0	0	0.999467	0.000533333	0	0.00426667	0.9928	0.00293333	0	0.00306667	0.996933	0	0	0.032	0.968	0	0	0.00266667	0.000933333	0.9964	0	0.0032	0.000666667	0.996133	0	0.00253333	0.585867	0.4116	0	0.0032	0.5968	0.4	0	0.008	0.0129333	0.979067	0	0.008	0.650133	0.341867	0	0.0004	0.997733	0.00186667	0	0.000133333	0.9856	0.0142667	0	0.0004	0.9996	0	0	0.00133333	0.998667	0	0	0.0142667	0.985733	0	0	0.0554667	0.944533	0	0	0.299867	0.700133	0
44	1.72855	0.244266	0.585173	0.131714	0	0	0.0012	0.9988	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0	0.0152	0.0096	0.9752	0	0.0149333	0.0096	0.975467	0	0.0157333	0.0105333	0.973733	0	0.00253333	0.883333	0.114133	0	0.00186667	0.895867	0.102267	0	0.032	0.260267	0.707733	0	0.0336	0.2608	0.7056	0	0	0.998133	0.00186667	0	0	0.987333	0.0126667	0	0	0.9508	0.0492	0	0	0.9404	0.0596	0	0.00653333	0.964133	0.0293333	0	0.0462667	0.9328	0.0209333	0	0.0028	0.9972	0	0	0.0292	0.9708	0	0	0.0213333	0.004	0.974667	0	0.0252	0.00146667	0.973333	0	0.00506667	0.919467	0.0754667	0	0.0252	0.901467	0.0733333	0	0.0686667	0.237867	0.693467	0	0.0748	0.863333	0.0618667	0	0	0.999733	0.000266667	0	0	0.981067	0.0189333	0	0	1	0	0	0.0188	0.9812	0	0	0.094	0.906	0	0	0.136133	0.863867	0	0	0.3932	0.6068	0
7	2.34805	0.126649	0.601714	0.142638	0	0	0	1	0	0	0.00106667	0.998933	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.877867	0.122133	0	0	0.906667	0.0933333	0	0	0	1	0	0	0	1	0	0	0.999467	0.000533333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0044	0.9956	0	0	0.0194667	0.980533	0	0	0	0	1	0	0	0	1	0	0	0.9896	0.0104	0	0	0.990133	0.00986667	0	0	0	1	0	0	0.990933	0.00906667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.0096	0.9904	0	0	0.254533	0.745467	0
67	1.14264	0.21607	0.597818	0.231565	0	0	0	1	0	0	0	1	0	0	0.000133333	0.999867	0	0	0.0028	0.0192	0.978	0	0.00386667	0.014	0.982133	0	0.00493333	0.0237333	0.971333	0	0.0028	0.3524	0.6448	0	0.00333333	0.286133	0.710533	0	0.00573333	0.227467	0.7668	0	0.00533333	0.197333	0.797333	0	0	0.473067	0.526933	0	0	0.7852	0.2148	0	0	0.9328	0.0672	0	0	0.27	0.73	0	0.000133333	0.9596	0.0402667	0	0.0117333	0.876133	0.112133	0	0.000133333	0.999867	0	0	0.0178667	0.982133	0	0	0.0052	0.0186667	0.976133	0	0.00653333	0.0298667	0.9636	0	0.00413333	0.432667	0.5632	0	0.00773333	0.450667	0.5416	0	0.0088	0.2456	0.7456	0	0.0114667	0.553067	0.435467	0	0	0.8804	0.1196	0	0	0.9488	0.0512	0	0	0.9928	0.0072	0	0.002	0.992133	0.00586667	0	0.0201333	0.9744	0.00546667	0	0.0564	0.9396	0.004	0	0.2944	0.7056	0
30	2.43497	0.291125	0.568945	0.106015	0	0	0	1	0	0	0	1	0	0	0.0008	0.9992	0	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0.000133333	0	0.999867	0	0	0.976133	0.0238667	0	0	0.945867	0.0541333	0	0.00186667	0.5648	0.433333	0	0.00173333	0.717067	0.2812	0	0	0.994667	0.00533333	0	0	0.991333	0.00866667	0	0	0.970533	0.0294667	0	0	0.999467	0.000533333	0	0	0.9996	0.0004	0	0.0052	0.988667	0.00613333	0	0	1	0	0	0.0266667	0.973333	0	0	0.000133333	0	0.999867	0	0.000133333	0	0.999867	0	0	0.990267	0.00973333	0	0.000133333	0.990533	0.00933333	0	0.00346667	0.8348	0.161733	0	0.00453333	0.987733	0.00773333	0	0	0.999467	0.000533333	0	0	0.999867	0.000133333	0	0	1	0	0	0.000266667	0.999733	0	0	0.006	0.994	0	0	0.0174667	0.982533	0	0	0.218667	0.781333	0
13	2.07522	0.26669	0.56075	0.175696	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00266667	0.00506667	0.992267	0	0.0028	0.00466667	0.992533	0	0.00453333	0.0032	0.992267	0	0.00146667	0.911467	0.0870667	0	0.00146667	0.6956	0.302933	0	0.00786667	0.00493333	0.9872	0	0.00786667	0.00493333	0.9872	0	0.0112	0.976	0.0128	0	0.0338667	0.628533	0.3376	0	0.0230667	0.929733	0.0472	0	0.0048	0.9932	0.002	0	0.0233333	0.958267	0.0184	0	0.0112	0.987467	0.00133333	0	0	1	0	0	0.0052	0.9948	0	0	0.00426667	0.00373333	0.992	0	0.006	0.00266667	0.991333	0	0.00253333	0.9536	0.0438667	0	0.006	0.953067	0.0409333	0	0.0128	0	0.9872	0	0.0128	0.954133	0.0330667	0	0.06	0.9352	0.0048	0	0.058	0.941333	0.000666667	0	0.0953333	0.904667	0	0	0.0972	0.9028	0	0	0.100133	0.899867	0	0	0.1064	0.8936	0	0	0.258	0.742	0
25	1.50026	0.245589	0.491809	0.183814	0	0	0	1	0	0	0	1	0	0	0.000266667	0.999733	0	0	0.0449333	0.467333	0.487733	0	0.0437333	0.467067	0.4892	0	0.0754667	0.407333	0.5172	0	0.0197333	0.741067	0.2392	0	0.0162667	0.868933	0.1148	0	0.134267	0.0841333	0.7816	0	0.1608	0.0496	0.7896	0	0.000533333	0.978267	0.0212	0	0.000266667	0.9856	0.0141333	0	0.0024	0.839333	0.158267	0	0.0004	0.9724	0.0272	0	0.164667	0.086	0.749333	0	0.252533	0.383867	0.3636	0	0.000266667	0.999733	0	0	0.0244	0.9756	0	0	0.0634667	0.517067	0.419467	0	0.0993333	0.530533	0.370133	0	0.0274667	0.908933	0.0636	0	0.123733	0.816133	0.0601333	0	0.204933	0.0148	0.780267	0	0.205733	0.743333	0.0509333	0	0.0012	0.9924	0.0064	0	0.00333333	0.978133	0.0185333	0	0.0088	0.9868	0.0044	0	0.1876	0.808267	0.00413333	0	0.2388	0.757733	0.00346667	0	0.283467	0.714133	0.0024	0	0.458	0.542	0
62	1.25076	0.215427	0.571967	0.121575	0	0	0.00146667	0.998533	0	0	0.000666667	0.999333	0	0	0.0012	0.9988	0	0	0.00106667	0.1296	0.869333	0	0.000933333	0.125467	0.8736	0	0.00253333	0.0809333	0.916533	0	0.0012	0.323333	0.675467	0	0.0008	0.38	0.6192	0	0.00226667	0.195333	0.8024	0	0.00253333	0.197333	0.800133	0	0	0.932133	0.0678667	0	0	0.989333	0.0106667	0	0	0.9984	0.0016	0	0	0.976533	0.0234667	0	0	0.996533	0.00346667	0	0.000266667	0.996933	0.0028	0	0.008	0.992	0	0	0.0352	0.9648	0	0	0.00186667	0.138133	0.86	0	0.00373333	0.1476	0.848667	0	0.00186667	0.396667	0.601467	0	0.00426667	0.406133	0.5896	0	0.0052	0.2048	0.79	0	0.006	0.477867	0.516133	0	0	0.996933	0.00306667	0	0	0.9996	0.0004	0	0	1	0	0	0.000266667	0.999733	0	0	0.0064	0.9936	0	0	0.01	0.99	0	0	0.192267	0.807733	0
1	1.33891	0.269463	0.564088	0.143111	0	0	0.000533333	0.999467	0	0	0.0008	0.9992	0	0	0.00106667	0.998933	0	0	0.00133333	0.00386667	0.9948	0	0.0012	0.00386667	0.994933	0	0.00186667	0.00306667	0.995067	0	0.002	0.1756	0.8224	0	0.00146667	0.137467	0.861067	0	0.00226667	0.0590667	0.938667	0	0.00266667	0.0341333	0.9632	0	0	0.951867	0.0481333	0	0	0.903867	0.0961333	0	0	0.9348	0.0652	0	0	0.953867	0.0461333	0	0	0.985733	0.0142667	0	0.000933333	0.995467	0.0036	0	0.00146667	0.998533	0	0	0.0110667	0.988933	0	0	0.00146667	0.00373333	0.9948	0	0.00346667	0.00173333	0.9948	0	0.00226667	0.2164	0.781333	0	0.00346667	0.23	0.766533	0	0.00413333	0.0717333	0.924133	0	0.00413333	0.328533	0.667333	0	0	0.9872	0.0128	0	0	0.9864	0.0136	0	0	0.998	0.002	0	0	0.9984	0.0016	0	0.00506667	0.993333	0.0016	0	0.0145333	0.985333	0.000133333	0	0.1876	0.8124	0
65	1.55935	0.23513	0.564432	0.120972	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0	0.08	0.92	0	0	0.0104	0.472267	0.517333	0	0.0104	0.475067	0.514533	0	0.0188	0.320533	0.660667	0	0.00426667	0.802	0.193733	0	0.0032	0.894933	0.101867	0	0.0408	0.0408	0.9184	0	0.0362667	0.0521333	0.9116	0	0	0.986	0.014	0	0	0.993733	0.00626667	0	0	0.970533	0.0294667	0	0	0.9864	0.0136	0	0	0.9976	0.0024	0	0.0245333	0.9584	0.0170667	0	0.00173333	0.998267	0	0	0.115067	0.884933	0	0	0.0152	0.516667	0.468133	0	0.0273333	0.540533	0.432133	0	0.00533333	0.923067	0.0716	0	0.0349333	0.895733	0.0693333	0	0.0614667	0.0350667	0.903467	0	0.0621333	0.877467	0.0604	0	0	0.9996	0.0004	0	0	0.996533	0.00346667	0	0	0.999867	0.000133333	0	0.00173333	0.998267	0	0	0.0684	0.9316	0	0	0.124	0.876	0	0	0.398533	0.601467	0
14	2.06493	0.152761	0.657802	0.141128	0	0	0	1	0	0	0.0008	0.9992	0	0	0.0490667	0.950933	0	0	0.0028	0.00226667	0.994933	0	0.00266667	0.00293333	0.9944	0	0.00226667	0.00586667	0.991867	0	0.000133333	0.963733	0.0361333	0	0.000133333	0.972533	0.0273333	0	0.00506667	0.00253333	0.9924	0	0.0056	0.002	0.9924	0	0	0.998933	0.00106667	0	0	0.992	0.008	0	0	1	0	0	0	0.9996	0.0004	0	0	1	0	0	0.0044	0.9956	0	0	0.00706667	0.992933	0	0	0.161867	0.838133	0	0	0.00373333	0.00226667	0.994	0	0.004	0.00613333	0.989867	0	0.000133333	0.994533	0.00533333	0	0.00413333	0.990533	0.00533333	0	0.0076	0	0.9924	0	0.0076	0.9876	0.0048	0	0	0.999867	0.000133333	0	0	1	0	0	0	1	0	0	0.000933333	0.999067	0	0	0.0218667	0.978133	0	0	0.208267	0.791733	0	0	0.649333	0.350667	0
36	1.36827	0.324111	0.582201	0.113246	0	0	0	1	0	0	0.00146667	0.998533	0	0	0.0004	0.9996	0	0	0.0004	0.664133	0.335467	0	0.0004	0.6484	0.3512	0	0.00106667	0.7332	0.265733	0	0	0.8836	0.1164	0	0.000133333	0.892	0.107867	0	0.0036	0.209467	0.786933	0	0.00173333	0.2572	0.741067	0	0	0.794533	0.205467	0	0	0.847867	0.152133	0	0	0.9244	0.0756	0	0	0.5888	0.4112	0	0.0004	0.894	0.1056	0	0.0068	0.9436	0.0496	0	0.00333333	0.996667	0	0	0.0165333	0.983467	0	0	0.00106667	0.728933	0.27	0	0.00213333	0.7944	0.203467	0	0.000266667	0.936667	0.0630667	0	0.00293333	0.939333	0.0577333	0	0.00626667	0.274	0.719733	0	0.00666667	0.9444	0.0489333	0	0	0.9068	0.0932	0	0	0.937867	0.0621333	0	0	0.9776	0.0224	0	0.0016	0.981867	0.0165333	0	0.0092	0.979467	0.0113333	0	0.0342667	0.959333	0.0064	0	0.2408	0.7592	0
53	0.944893	0.120732	0.555066	0.251034	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00106667	0.00906667	0.989867	0	0.0012	0.006	0.9928	0	0.00106667	0.0196	0.979333	0	0.00106667	0.103067	0.895867	0	0.0004	0.187733	0.811867	0	0.000933333	0.0056	0.993467	0	0.000933333	0.00546667	0.9936	0	0	0.3016	0.6984	0	0	0.431467	0.568533	0	0	0.996133	0.00386667	0	0	0.998133	0.00186667	0	0.000133333	0.4816	0.518267	0	0.0008	0.934667	0.0645333	0	0	1	0	0	0.0016	0.9984	0	0	0.00133333	0.0126667	0.986	0	0.0016	0.0912	0.9072	0	0.00133333	0.265733	0.732933	0	0.00173333	0.3024	0.695867	0	0.00213333	0.00466667	0.9932	0	0.00213333	0.426533	0.571333	0	0	0.520533	0.479467	0	0	0.999733	0.000266667	0	0	1	0	0	0.000266667	0.999733	0	0	0.00266667	0.997333	0	0	0.0064	0.9936	0	0	0.153867	0.846133	0
41	2.62687	0.148756	0.530558	0.135324	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0	0	1	0	0	0.904667	0.0953333	0	0	0.987467	0.0125333	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.999733	0.000266667	0	0	0.9996	0.0004	0	0	1	0	0	0.000533333	0.999467	0	0	0	0.000133333	0.999867	0	0	0.000133333	0.999867	0	0	0.998667	0.00133333	0	0	0.998667	0.00133333	0	0	0	1	0	0	0.9988	0.0012	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00226667	0.997733	0	0	0.0925333	0.907467	0
56	1.84251	0.252789	0.193271	0.144346	0	0	0.3436	0.6564	0	0	0.326267	0.673733	0	0	0.952	0.048	0	0	0.525467	0.3044	0.170133	0	0.517733	0.317067	0.1652	0	0.7084	0.145467	0.146133	0	0.5132	0.372533	0.114267	0	0.538	0.3272	0.1348	0	0.769067	0.1208	0.110133	0	0.728267	0.162133	0.1096	0	0.00933333	0.9832	0.00746667	0	0.0185333	0.949467	0.032	0	0.0868	0.873867	0.0393333	0	0.0270667	0.964133	0.0088	0	0.865733	0.0606667	0.0736	0	0.962933	0.0357333	0.00133333	0	0.454	0.546	0	0	0.966267	0.0337333	0	0	0.643867	0.217067	0.139067	0	0.834533	0.0342667	0.1312	0	0.644667	0.3272	0.0281333	0	0.842667	0.136533	0.0208	0	0.888533	0.00293333	0.108533	0	0.890933	0.104267	0.0048	0	0.0402667	0.9588	0.000933333	0	0.13	0.8664	0.0036	0	0.209333	0.790667	0	0	0.901467	0.0985333	0	0	0.984667	0.0153333	0	0	0.996533	0.00346667	0	0	0.998933	0.00106667	0
31	1.89135	0.189376	0.557823	0.142625	0	0	0.0012	0.9988	0	0	0.00133333	0.998667	0	0	0.0004	0.9996	0	0	0	0.0028	0.9972	0	0	0.0028	0.9972	0	0	0.0016	0.9984	0	0	0.796	0.204	0	0	0.809467	0.190533	0	0.000133333	0.000133333	0.999733	0	0.000133333	0.000133333	0.999733	0	0	0.987733	0.0122667	0	0	0.8408	0.1592	0	0	0.999867	0.000133333	0	0	0.998933	0.00106667	0	0	0.993333	0.00666667	0	0.000133333	0.998533	0.00133333	0	0.00626667	0.993733	0	0	0.0194667	0.980533	0	0	0	0.00306667	0.996933	0	0.000133333	0.0032	0.996667	0	0	0.836533	0.163467	0	0.000133333	0.8396	0.160267	0	0.000133333	0.000133333	0.999733	0	0.000133333	0.856267	0.1436	0	0	0.997067	0.00293333	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000533333	0.999467	0	0	0.00386667	0.996133	0	0	0.1696	0.8304	0
8	1.87853	0.151508	0.608126	0.136405	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00413333	0.00306667	0.9928	0	0.0048	0.00253333	0.992667	0	0.00533333	0.00213333	0.992533	0	0	0.959733	0.0402667	0	0	0.969333	0.0306667	0	0.0172	0.0165333	0.966267	0	0.0174667	0.0162667	0.966267	0	0	0.999467	0.000533333	0	0	0.999733	0.000266667	0	0	1	0	0	0	0.999067	0.000933333	0	0.000133333	0.999467	0.0004	0	0.0101333	0.988267	0.0016	0	0.000666667	0.999333	0	0	0.014	0.986	0	0	0.00613333	0.00133333	0.992533	0	0.00746667	0	0.992533	0	0.000133333	0.990267	0.0096	0	0.00746667	0.982933	0.0096	0	0.0328	0.00146667	0.965733	0	0.0328	0.958933	0.00826667	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00213333	0.997867	0	0	0.0429333	0.957067	0	0	0.0925333	0.907467	0	0	0.369733	0.630267	0
